benchmark_id,elite_rate,elimination_rate,seed,best_value,error,time
CEC2022_F1,0.05,0.2,1459918617,7986.6747962113104222,7686.6747962113104222,1.560605
CEC2022_F1,0.05,0.2,1638605194,9625.1562830279799527,9325.1562830279799527,1.541834
CEC2022_F1,0.05,0.2,1884120510,8357.2748065946107090,8057.2748065946107090,1.537202
CEC2022_F1,0.05,0.25,2894928748,9751.2925775933472323,9451.2925775933472323,1.541223
CEC2022_F1,0.05,0.25,1806734915,13223.0162533005768637,12923.0162533005768637,1.549012
CEC2022_F1,0.05,0.25,3217235270,11489.7688963694363338,11189.7688963694363338,1.535806
CEC2022_F1,0.05,0.25,1790284968,12975.8168945771467406,12675.8168945771467406,1.551914
CEC2022_F1,0.05,0.25,3866555287,16293.9526523673594056,15993.9526523673594056,1.555249
CEC2022_F1,0.05,0.25,1850582270,12430.7389681366730656,12130.7389681366730656,1.561745
CEC2022_F1,0.05,0.25,77564218,10306.0585474893887294,10006.0585474893887294,1.556659
CEC2022_F1,0.05,0.25,2900478716,8955.4588040186954458,8655.4588040186954458,1.533544
CEC2022_F1,0.05,0.25,2658924762,8481.5081136477165273,8181.5081136477165273,1.535040
CEC2022_F1,0.05,0.25,4255501078,10367.9673020276841271,10067.9673020276841271,1.534415
CEC2022_F1,0.05,0.25,1632872662,11866.5046130270857248,11566.5046130270857248,1.591208
CEC2022_F1,0.05,0.25,904221688,8746.4976107916736510,8446.4976107916736510,1.557620
CEC2022_F1,0.05,0.25,4030529564,12051.9784124524740037,11751.9784124524740037,1.539643
CEC2022_F1,0.05,0.25,619566366,7783.1055344532987874,7483.1055344532987874,1.534860
CEC2022_F1,0.05,0.25,3493902821,14171.0790578357482445,13871.0790578357482445,1.530580
CEC2022_F1,0.05,0.25,2974449495,8563.1177411552162084,8263.1177411552162084,1.526052
CEC2022_F1,0.05,0.25,2545965601,10216.9825263273160090,9916.9825263273160090,1.529095
CEC2022_F1,0.05,0.25,2158924125,13365.8663758589882491,13065.8663758589882491,1.540293
CEC2022_F1,0.05,0.25,1981180051,11018.4789198877151648,10718.4789198877151648,1.571486
CEC2022_F1,0.05,0.25,2112044542,11750.9097279901634465,11450.9097279901634465,1.539324
CEC2022_F1,0.05,0.25,2881573664,10099.1131809216894908,9799.1131809216894908,1.523999
CEC2022_F1,0.05,0.25,2372223958,8616.6828857390864869,8316.6828857390864869,1.520863
CEC2022_F1,0.05,0.25,145415183,6627.7140270181189408,6327.7140270181189408,1.522302
CEC2022_F1,0.05,0.25,2487350364,12409.5499223813458229,12109.5499223813458229,1.535669
CEC2022_F1,0.05,0.25,3686646044,13379.2050674999773037,13079.2050674999773037,1.539700
CEC2022_F1,0.05,0.25,3678671351,4904.9775986662943978,4604.9775986662943978,1.530101
CEC2022_F1,0.05,0.25,524986831,2457.7349486372686442,2157.7349486372686442,1.526443
CEC2022_F1,0.05,0.25,1459918617,8602.0506167569074023,8302.0506167569074023,1.643084
CEC2022_F1,0.05,0.25,1638605194,9819.5028731182483170,9519.5028731182483170,1.539961
CEC2022_F1,0.05,0.25,1884120510,7983.5126841781793701,7683.5126841781793701,1.544779
CEC2022_F1,0.1,0.05,2894928748,14795.8551603159958177,14495.8551603159958177,1.540678
CEC2022_F1,0.1,0.05,1806734915,10529.3739949806495133,10229.3739949806495133,1.556971
CEC2022_F1,0.1,0.05,3217235270,9320.4549039747416828,9020.4549039747416828,1.509475
CEC2022_F1,0.1,0.05,1790284968,14333.1063857373192150,14033.1063857373192150,1.513175
